Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
INDIGO.NS,5035.0,2024-09-12,2367.05,2023-10-03,4942.1,-92.9,Wait
NTPC.NS,448.45,2024-09-30,221.641,2023-10-26,436.0,-12.45,Wait
RAILTEL.NS,615.384,2024-07-12,200.842,2023-10-26,459.7,-155.684,Wait
KANSAINER.NS,354.144,2023-12-27,249.625,2024-06-04,306.55,-47.594,Wait
TORNTPHARM.NS,3574.0,2024-08-30,1803.667,2023-10-25,3442.8,-131.2,Wait
COALINDIA.NS,543.55,2024-08-26,264.905,2023-10-09,503.55,-40.0,Wait
VIPIND.NS,694.847,2023-10-13,428.5,2024-06-04,542.9,-151.947,Wait
APTUS.NS,386.826,2024-02-07,274.429,2023-10-26,354.05,-32.776,Wait
JINDALSAW.NS,759.9,2024-09-30,326.195,2023-10-09,746.0,-13.9,Wait
JKCEMENT.NS,4895.5,2024-09-10,3041.791,2023-10-26,4637.85,-257.65,Wait
INDIAMART.NS,3198.4,2024-07-30,2212.486,2024-06-04,2911.85,-286.55,Wait
KAYNES.NS,5810.0,2024-09-24,2158.0,2023-11-01,5495.8,-314.2,Wait
BALKRISIND.NS,3370.183,2024-08-01,2187.885,2024-03-11,2989.85,-380.332,Wait
BANKBARODA.NS,291.561,2024-06-03,182.748,2023-10-26,248.0,-43.561,Wait
IRCON.NS,349.817,2024-07-15,125.622,2023-10-26,223.9,-125.917,Wait
BHEL.NS,335.069,2024-07-09,113.405,2023-10-26,275.75,-59.319,Wait
ICICIPRULI.NS,795.0,2024-09-24,462.97,2024-01-18,787.4,-7.6,Wait
COFORGE.NS,7149.0,2024-09-27,4256.48,2024-05-09,6959.95,-189.05,Wait
TATACHEM.NS,1330.793,2024-03-07,920.408,2024-02-29,1082.8,-247.993,Wait
APOLLOHOSP.NS,7316.95,2024-09-30,4714.494,2023-10-26,7285.0,-31.95,Wait
HEG.NS,2714.894,2024-05-22,1446.921,2023-10-26,2471.0,-243.894,Wait
MRPL.NS,286.388,2024-02-19,89.103,2023-10-09,179.35,-107.038,Wait
JUSTDIAL.NS,1383.95,2024-08-21,696.0,2023-11-17,1161.5,-222.45,Wait
BAJAJFINSV.NS,2029.9,2024-09-27,1418.155,2024-06-04,2003.4,-26.5,Wait
AMBUJACEM.NS,706.95,2024-07-02,402.834,2023-11-01,638.8,-68.15,Wait
SRF.NS,2690.15,2024-05-03,2076.035,2023-10-26,2492.0,-198.15,Wait
ATUL.NS,8135.4,2024-08-22,5159.702,2024-06-04,7757.7,-377.7,Wait
KPRMILL.NS,1053.0,2024-09-25,707.927,2024-02-22,957.05,-95.95,Wait
GLENMARK.NS,1769.6,2024-09-16,721.067,2023-11-13,1681.3,-88.3,Wait
GNFC.NS,795.833,2024-01-04,576.44,2024-03-14,676.1,-119.733,Wait
EMAMILTD.NS,860.0,2024-09-06,417.1,2024-03-15,741.45,-118.55,Wait
NHPC.NS,117.795,2024-07-15,47.425,2023-10-26,94.85,-22.945,Wait
DABUR.NS,672.0,2024-09-17,487.114,2024-04-15,634.35,-37.65,Wait
FLUOROCHEM.NS,4507.254,2024-09-17,2474.218,2024-06-04,4243.65,-263.604,Wait
ASIANPAINT.NS,3394.9,2024-09-16,2644.513,2024-05-10,3346.7,-48.2,Wait
TIMKEN.NS,4814.917,2024-06-18,2522.937,2024-03-12,3771.15,-1043.767,Wait
USHAMART.NS,424.428,2024-07-05,250.807,2023-10-26,353.0,-71.428,Wait
